X,Y,Z,DF,Formacion
1109036.77,1259898.34,1284,48.77361345,K1ls_mi
1109136.77,1259898.34,1309,99.60027642,K1ls_mi
1109236.77,1259898.34,1317,161.4848131,K1ls_mi
1109336.77,1259898.34,1330,247.2834476,K1ls_mi
1109436.77,1259898.34,1350,340.9031155,K1ls_mi
1109536.77,1259898.34,1384,437.3497706,K1ls_mi
1109636.77,1259898.34,1414,535.0969541,K1ls_mi
1109736.77,1259898.34,1423,633.5429766,K1ls_mi
1109836.77,1259898.34,1384,732.4060788,K1ls_mi
1109936.77,1259898.34,1364,831.537502,K1ls_mi
1110036.77,1259898.34,1358,930.8515164,K1ls_mi
1110136.77,1259898.34,1352,1030.295314,K1ls_mi
1110236.77,1259898.34,1326,1129.834618,K1ls_mi
1110336.77,1259898.34,1316,1229.446225,K1ls_mi
1110436.77,1259898.34,1303,1329.113873,K1ls_mi
1110536.77,1259898.34,1279,1428.825828,K1ls_mi
1110636.77,1259898.34,1259,1528.573414,K1ls_mi
1110736.77,1259898.34,1260,1628.350079,K1ls_mi
1110836.77,1259898.34,1267,1726.064123,K1ls_mi
1110936.77,1259898.34,1282,1699.963062,K1ls_mi
1111036.77,1259898.34,1300,1677.153411,K1ls_mi
1111136.77,1259898.34,1307,1655.788806,K1ls_mi
1111236.77,1259898.34,1294,1637.501137,K1ls_mi
1111336.77,1259898.34,1275,1613.630146,K1ls_mi
1111436.77,1259898.34,1278,1585.49282,K1ls_mi
1111536.77,1259898.34,1287,1560.574324,K1ls_mi
1111636.77,1259898.34,1309,1541.749274,K1ls_mi
1111736.77,1259898.34,1299,1519.78061,K1ls_mi
1111836.77,1259898.34,1297,1483.49677,J1-2j
1111936.77,1259898.34,1295,1453.144665,J1-2j
1112036.77,1259898.34,1310,1424.627864,J1-2j
1112136.77,1259898.34,1322,1389.557958,J1-2j
1112236.77,1259898.34,1275,1359.612967,J1-2j
1112336.77,1259898.34,1259,1330.179598,J1-2j
1112436.77,1259898.34,1245,1301.025241,J1-2j
1112536.77,1259898.34,1227,1274.605959,J1-2j
1112636.77,1259898.34,1203,1248.548591,J1-2j
1112736.77,1259898.34,1219,1221.440044,J1-2j
1112836.77,1259898.34,1224,1182.681355,J1-2j
1112936.77,1259898.34,1213,1151.054311,OSs
1113036.77,1259898.34,1213,1123.973814,OSs
1113136.77,1259898.34,1225,1097.256359,OSs
1113236.77,1259898.34,1239,1076.936507,OSs
1113336.77,1259898.34,1233,1065.648456,OSs
1113436.77,1259898.34,1229,1060.662638,OSs
1113536.77,1259898.34,1222,1048.430278,OSs
1113636.77,1259898.34,1201,1035.990194,OSs
1113736.77,1259898.34,1155,1030.676983,J1-2j
1113836.77,1259898.34,1112,1033.774929,J1-2j
1113936.77,1259898.34,1128,1036.030289,J1-2j
1114036.77,1259898.34,1156,1028.551783,J1-2j
1114136.77,1259898.34,1175,1021.053398,J1-2j
1114236.77,1259898.34,1142,1023.217941,J1-2j
1114336.77,1259898.34,1091,1035.054717,J1-2j
1114436.77,1259898.34,1094,1056.264694,J1-2j
1114536.77,1259898.34,1073,1082.896351,J1-2j
1114636.77,1259898.34,1067,1102.73473,J1-2j
1114736.77,1259898.34,1096,1086.493261,J1-2j
1114836.77,1259898.34,1117,1064.3715,J1-2j
1114936.77,1259898.34,1122,1040.748973,J1-2j
1115036.77,1259898.34,1112,1011.752754,J1-2j
1115136.77,1259898.34,1115,983.1663944,J1-2j
1115236.77,1259898.34,1145,954.5662096,J1-2j
1115336.77,1259898.34,1161,922.5115196,J1gp
1115436.77,1259898.34,1132,879.6620505,J1gp
1115536.77,1259898.34,1116,822.3251066,J1gp
1115636.77,1259898.34,1109,764.9881647,J1gp
1115736.77,1259898.34,1079,708.550183,J1gp
1115836.77,1259898.34,1060,652.4744383,J1gp
1115936.77,1259898.34,1062,585.8554076,J1gp
1116036.77,1259898.34,1095,519.8314273,J1gp
1116136.77,1259898.34,1068,464.5959227,J1gp
